ctag	en	en_female
addictedRating_1	I was right, this game is fun. Let me get back to it...	I was right, this game is fun. Let me get back to it...
addictedRating_10	Learned to knit so I could make <an> $clubname FC scarf.	Learned to knit so I could make <an> $clubname FC scarf.
addictedRating_11	Not sure what to do this weekend, I need advice from <staffname>.	Not sure what to do this weekend, I need advice from <staffname>.
addictedRating_12	Thinking about getting my hair cut to look more like <playername> <position>.	Thinking about getting my hair cut to look more like <playername> <position>.
addictedRating_13	Started an argument about why $clubname FC are going to top the league next season.	Started an argument about why $clubname FC are going to top the league next season.
addictedRating_14	Started an argument about why $clubname FC are going to top the league next season, and won it.	Started an argument about why $clubname FC are going to top the league next season, and won it.
addictedRating_15	Had a dream about <playername> <position>. It's not weird.	Had a dream about <playername> <position>. It's not weird.
addictedRating_16	I might get a dog and name it <staffname>.	I might get a dog and name it <staffname>.
addictedRating_17	Not going to book a holiday this year, we've got some Board Targets to achieve.	Not going to book a holiday this year, we've got some Board Targets to achieve.
addictedRating_18	Could have sworn I saw <playername> <position> in the street yesterday.	Could have sworn I saw <playername> <position> in the street yesterday.
addictedRating_19	Pretty sure I'll be getting called up as the <nation> coach soon.	Pretty sure I'll be getting called up as the <nation> coach soon.
addictedRating_2	Starting to develop a callous on my kicking thumb.	Starting to develop a callous on my kicking thumb.
addictedRating_20	Couldn't sleep at all last night. Worried about <playername><s> <position> current form.	Couldn't sleep at all last night. Worried about <playername><s> <position> current form.
addictedRating_21	<nation> still haven't called. Maybe they've left a message.	<nation> still haven't called. Maybe they've left a message.
addictedRating_22	I can remember <playername><s> <position> birthday, but forgot my own...	I can remember <playername><s> <position> birthday, but forgot my own...
addictedRating_23	Might as well just turn up at the next <nation> game; they'll know who I am and why I'm there.	Might as well just turn up at the next <nation> game; they'll know who I am and why I'm there.
addictedRating_24	Have added "Manager at $clubname FC" to the 'hobbies' section of my CV.	Have added "Manager at $clubname FC" to the 'hobbies' section of my CV.
addictedRating_25	Writing a strongly worded letter about the lack of $clubname FC games on terrestrial TV.	Writing a strongly worded letter about the lack of $clubname FC games on terrestrial TV.
addictedRating_26	Have added "Manager at $clubname FC" to the 'previous employment' section of my CV.	Have added "Manager at $clubname FC" to the 'previous employment' section of my CV.
addictedRating_27	Discovered how to officially rename my house, I now live at "$stadiumname".	Discovered how to officially rename my house, I now live at "$stadiumname".
addictedRating_28	Have added "Manager at $clubname FC" to the 'current employment' section of my CV.	Have added "Manager at $clubname FC" to the 'current employment' section of my CV.
addictedRating_29	On second thoughts I'm not even going to pick up if <nation> calls. I'm $clubname FC for life.	On second thoughts I'm not even going to pick up if <nation> calls. I'm $clubname FC for life.
addictedRating_3	If I could get a waterproof phone I could keep playing in the shower.	If I could get a waterproof phone I could keep playing in the shower.
addictedRating_30	Have thrown my CV away. As long as I'm managing $clubname FC I don't need another job.	Have thrown my CV away. As long as I'm managing $clubname FC I don't need another job.
addictedRating_31	Took a short break to watch a movie. I think <playername> <position> would have loved it.	Took a short break to watch a movie. I think <playername> <position> would have loved it.
addictedRating_32	I might get a discrete "$clubname FC" tattoo.	I might get a discrete "$clubname FC" tattoo.
addictedRating_33	I might get <playername><s> <position> face tattooed on my back.	I might get <playername><s> <position> face tattooed on my back.
addictedRating_34	Have been asking strangers if they're ready to accept $clubname FC into their hearts.	Have been asking strangers if they're ready to accept $clubname FC into their hearts.
addictedRating_35	<playername> <position> is my spirit animal.	<playername> <position> is my spirit animal.
addictedRating_36	If everyone could just get behind $clubname FC I think we could achieve world peace.	If everyone could just get behind $clubname FC I think we could achieve world peace.
addictedRating_37	<staffname> is basically like family to me.	<staffname> is basically like family to me.
addictedRating_38	Changing my Last Will and Testament. All my possessions go to <staffname>.	Changing my Last Will and Testament. All my possessions go to <staffname>.
addictedRating_39	When I die, chisel $clubname FC's win record onto my tombstone.	When I die, chisel $clubname FC's win record onto my tombstone.
addictedRating_4	Starting to wish that more people were as helpful as <staffname>.	Starting to wish that more people were as helpful as <staffname>.
addictedRating_5	If $clubname FC were real, I'd buy a season ticket.	If $clubname FC were real, I'd buy a season ticket.
addictedRating_6	Checked online to see if I could buy a season ticket for $clubname FC. Just in case.	Checked online to see if I could buy a season ticket for $clubname FC. Just in case.
addictedRating_7	Designed my own season ticket for $clubname FC and printed it out. Feel better now.	Designed my own season ticket for $clubname FC and printed it out. Feel better now.
addictedRating_8	Made up a song about <playername> <position> so I can chant it while I'm playing.	Made up a song about <playername> <position> so I can chant it while I'm playing.
addictedRating_9	Struggling to remember how things were before $clubname FC.	Struggling to remember how things were before $clubname FC.
advice_AverageAgeHigh	The average age of the squad is $average_age, boss. I would suggest bringing in some fresh blood.	The average age of the squad is $average_age, boss. I would suggest bringing in some fresh blood.
advice_AverageAgeLow	The average age of the squad is $average_age, boss. I would suggest bringing in one or two more experienced players.	The average age of the squad is $average_age, boss. I would suggest bringing in one or two more experienced players.
advice_BoardTargets	The board will be reviewing our targets after the next match.	The board will be reviewing our targets after the next match.
advice_ConcernsContract	A number of players are concerned about their contracts.	A number of players are concerned about their contracts.
advice_ConcernsDevelopment	A number of players are concerned their lack of development.	A number of players are concerned their lack of development.
advice_ConcernsSelection	A number of players are concerned about your MANAGEMENT skills.	A number of players are concerned about your MANAGEMENT skills.
advice_ConcernsForm	A number of players are concerned about the current team FORM. We need a win to boost the squad.	A number of players are concerned about the current team FORM. We need a win to boost the squad.
advice_Cover	We are lacking $position cover at the moment.	We are lacking $position cover at the moment.
advice_Weak	The $position position is our weakest.	The $position position is our weakest.
advice_FacilityUpgrade	In my opinion we should be looking to upgrade our $facility as soon as possible.	In my opinion we should be looking to upgrade our $facility as soon as possible.
advice_HappinessLow	The overall squad happiness is very low at the moment.	The overall squad happiness is very low at the moment.
advice_HireStaff	Don't forget that we have a vacant $stafftype position that needs filling.	Don't forget that we have a vacant $stafftype position that needs filling.
advice_LowAttendance	I think our ticket prices are having a negative impact match attendance.	I think our ticket prices are having a negative impact match attendance.
advice_RelationshipLow	Our relationship with the $relationship is very low and requires your attention.	Our relationship with the $relationship is very low and requires your attention.
advice_StadiumCapacity	We may need to consider increasing the stadium capacity soon.	We may need to consider increasing the stadium capacity soon.
advice_UnhappiestPlayer	$playername is extremely unhappy. Maybe you should have a meeting to clear the air?	$playername is extremely unhappy. Maybe you should have a meeting to clear the air?
advice_NextGame	Our next fixture is against $clubname, why not top up on retries before the match!	Our next fixture is against $clubname, why not top up on retries before the match!
advice_NextGame_Cup	We have a crucial cup game coming up against $clubname, why not top up on retries before the match!	We have a crucial cup game coming up against $clubname, why not top up on retries before the match!
advice_NextGame_Continent	We have an important game coming up against $clubname in the $compname, why not top up on retries before the match!	We have an important game coming up against $clubname in the $compname, why not top up on retries before the match!
advice_None	Hey Boss, Everything seems to be going ok at the moment.	Hey Boss, Everything seems to be going ok at the moment.
advice_TicketRise	We should think about raising ticket prices.	We should think about raising ticket prices.
advice_TicketLower	You might want to think about lowering ticket prices.	You might want to think about lowering ticket prices.
advice_LowEnergy	The team are looking pretty tired, maybe we should give them some energy cards.	The team are looking pretty tired, maybe we should give them some energy cards.
adviceButton_AddBux	Add Bux	Add Bux
adviceButton_GetPlayers	Get Players	Get Players
adviceButton_GetRetries	Get Retries	Get Retries
adviceButton_LowEnergy	Use NRG Cards	Use NRG Cards
Age	Age	Age
answer_Correct	Correct	Correct
answer_No	No	No
answer_NotOwned	Not Owned	Not Owned
answer_Wrong	Wrong	Wrong
answer_Yes	Yes	Yes
AppealDescr	Reduce a Ban	Reduce a Ban
Appearances	Appearances	Appearances
Assist	Assist	Assist
Assistant Report	Assistant Report	Assistant Report
ASSISTANTCOMMENT_CHEMISTRY1	The chemistry between $playername and $playername2 is not good.	The chemistry between $playername and $playername2 is not good.
ASSISTANTCOMMENT_CHEMISTRY10	$playername and $playername2 have zero chemistry and caused errors.	$playername and $playername2 have zero chemistry and caused errors.
ASSISTANTCOMMENT_CHEMISTRY2	$playername and $playername2's dislike of each other was evident.	$playername and $playername2's dislike of each other was evident.
ASSISTANTCOMMENT_CHEMISTRY3	$playername and $playername2 don't get along.	$playername and $playername2 don't get along.
ASSISTANTCOMMENT_CHEMISTRY4	$playername and $playername2 can't stand each other.	$playername and $playername2 can't stand each other.
ASSISTANTCOMMENT_CHEMISTRY5	$playername and $playername2 clearly don't get on.	$playername and $playername2 clearly don't get on.
ASSISTANTCOMMENT_CHEMISTRY6	The communication between $playername and $playername2 was poor.	The communication between $playername and $playername2 was poor.
ASSISTANTCOMMENT_CHEMISTRY7	$playername and $playername2 need to put their differences aside.	$playername and $playername2 need to put their differences aside.
ASSISTANTCOMMENT_CHEMISTRY8	$playername and $playername2 were on different wavelengths.	$playername and $playername2 were on different wavelengths.
ASSISTANTCOMMENT_CHEMISTRY9	The chemistry between $playername and $playername2 is poor.	The chemistry between $playername and $playername2 is poor.
ASSISTANTCOMMENT_FANS1	Our fans were in full voice today.	Our fans were in full voice today.
ASSISTANTCOMMENT_FANS2	The fans really got behind the team.	The fans really got behind the team.
ASSISTANTCOMMENT_FANS3	Our fans were a credit to us.	Our fans were a credit to us.
ASSISTANTCOMMENT_FANS4	The fans really believed in us.	The fans really believed in us.
ASSISTANTCOMMENT_FANS5	Our fans were very supportive.	Our fans were very supportive.
ASSISTANTCOMMENT_FANS6	Our fans were superb today.	Our fans were superb today.
ASSISTANTCOMMENT_FANS7	The fans were our twelth man today.	The fans were our twelth man today.
ASSISTANTCOMMENT_FANSAWAY1	Our away fans were in full voice today.	Our away fans were in full voice today.
ASSISTANTCOMMENT_FANSAWAY2	Our travelling fans really got behind the team.	Our travelling fans really got behind the team.
ASSISTANTCOMMENT_FANSAWAY3	Our away support was superb.	Our away support was superb.
ASSISTANTCOMMENT_FANSAWAY4	Our travelling fans really believed in us.	Our travelling fans really believed in us.
ASSISTANTCOMMENT_FANSAWAY5	Our travelling fans were very supportive.	Our travelling fans were very supportive.
ASSISTANTCOMMENT_FANSAWAY6	Our away fans were a credit to us.	Our away fans were a credit to us.
ASSISTANTCOMMENT_FANSAWAY7	The travelling fans were our twelfth man today.	The travelling fans were our twelfth man today.
ASSISTANTCOMMENT_RAWPLAYER1	$playername is still very raw. We shouldn't be starting him.	$playername is still very raw. We shouldn't be starting him.
ASSISTANTCOMMENT_RAWPLAYER2	$playername is still raw. We shouldn't be bringing him on until late-on.	$playername is still raw. We shouldn't be bringing him on until late-on.
ASSISTANTCOMMENT_RAWPLAYER3	$playername is very raw. We shouldn't be bringing him on until late in the game.	$playername is very raw. We shouldn't be bringing him on until late in the game.
ASSISTANTCOMMENT_ROOKIENOMORE1	$playername is no longer considered a rookie.	$playername is no longer considered a rookie.
ASSISTANTCOMMENT_ROOKIEPLAYER1	$playername is still a rookie. We shouldn't be starting him.	$playername is still a rookie. We shouldn't be starting him.
ASSISTANTCOMMENT_ROOKIEPLAYER2	$playername is too inexperienced to be starting matches.	$playername is too inexperienced to be starting matches.
ASSISTANTCOMMENT_ROOKIEPLAYER3	We should be using $playername as a sub until he has a bit more experience.	We should be using $playername as a sub until he has a bit more experience.
ASSISTANTCOMMENT_ROOKIEPLAYER4	$playername is a rookie. We should be using him as a sub for now.	$playername is a rookie. We should be using him as a sub for now.
ASSISTANTCOMMENT_ROOKIEPLAYER5	$playername needs more experience before he can start games.	$playername needs more experience before he can start games.
ASSISTANTCOMMENT_TIREDSTARTER1	$playername was tired from the kick-off.	$playername was tired from the kick-off.
ASSISTANTCOMMENT_TIREDSTARTER2	$playername was tired right from the off.	$playername was tired right from the off.
ASSISTANTCOMMENT_TIREDSTARTER3	$playername was too tired to start this match.	$playername was too tired to start this match.
ASSISTANTCOMMENT_UNHAPPYPLAYER1	$playername's mind was elsewhere today.	$playername's mind was elsewhere today.
ASSISTANTCOMMENT_UNHAPPYPLAYER2	We need to address $playername's concerns.	We need to address $playername's concerns.
ASSISTANTCOMMENT_UNHAPPYPLAYER3	$playername was out of sorts.	$playername was out of sorts.
ASSISTANTCOMMENT_UNHAPPYPLAYER4	$playername's mindset wasn't right.	$playername's mindset wasn't right.
ASSISTANTCOMMENT_UNHAPPYPLAYER5	$playername made a couple of mistakes today.	$playername made a couple of mistakes today.
ASSISTANTCOMMENT_UNHAPPYPLAYER6	$playername's state of mind led to a couple of errors.	$playername's state of mind led to a couple of errors.
ASSISTANTCOMMENT_UNHAPPYPLAYER7	$playername is unhappy at the moment.	$playername is unhappy at the moment.
ASSISTANTCOMMENT_UNHAPPYPLAYER8	$playername's morale is low.	$playername's morale is low.
ASSISTANTCOMMENT_UNHAPPYPLAYER9	We need to give $playername a morale boost.	We need to give $playername a morale boost.
ASSISTANTCOMMENT_UNHAPPYPLAYER10	We need to boost $playername's morale to get the best out of him.	We need to boost $playername's morale to get the best out of him.
ASSISTANTCOMMENT_UNHAPPYPLAYER11	$playername seemed distracted.	$playername seemed distracted.
ASSISTANTCOMMENT_UNHAPPYTEAM1	The squad is lacking confidence.	The squad is lacking confidence.
ASSISTANTCOMMENT_UNHAPPYTEAM2	The team are low on morale.	The team are low on morale.
ASSISTANTCOMMENT_UNHAPPYTEAM3	We need to address the happiness of the squad.	We need to address the happiness of the squad.
ASSISTANTCOMMENT_UNHAPPYTEAM4	We have an unhappy squad right now.	We have an unhappy squad right now.
ASSISTANTCOMMENT_UNHAPPYTEAM5	The lads need a morale boost.	The lads need a morale boost.
ASSISTANTCOMMENT_UNHAPPYTEAM6	We need to boost the happiness of the squad.	We need to boost the happiness of the squad.
ASSISTANTCOMMENT_UNHAPPYTEAM7	We need to keep player concerns in check.	We need to keep player concerns in check.
ASSISTANTCOMMENT_UNHAPPYTEAM8	We need to keep an eye on player happiness.	We need to keep an eye on player happiness.
ASSISTANTCOMMENT_VERYUNHAPPYTEAM1	The players were very low on confidence.	The players were very low on confidence.
ASSISTANTCOMMENT_VERYUNHAPPYTEAM2	Low happiness is causing errors on the pitch.	Low happiness is causing errors on the pitch.
ASSISTANTCOMMENT_VERYUNHAPPYTEAM3	We seriously need to address the happiness of the team.	We seriously need to address the happiness of the team.
ASSISTANTCOMMENT_VERYUNHAPPYTEAM4	The players need you to give them a lift.	The players need you to give them a lift.
ASSISTANTCOMMENT_VERYUNHAPPYTEAM5	We need to address the concerns of the players.	We need to address the concerns of the players.
ASSISTANTCOMMENT_VERYUNHAPPYTEAM6	The low happiness of the players is leading to mistakes.	The low happiness of the players is leading to mistakes.
ASSISTANTCOMMENT_HAPPYTEAM1	The squad is brimming with confidence.	The squad is brimming with confidence.
ASSISTANTCOMMENT_HAPPYTEAM2	Team morale is great at the moment.	Team morale is great at the moment.
ASSISTANTCOMMENT_HAPPYTEAM3	The happiness of the squad is good.	The happiness of the squad is good.
ASSISTANTCOMMENT_HAPPYTEAM4	We have a happy squad right now.	We have a happy squad right now.
ASSISTANTCOMMENT_HAPPYTEAM5	The overall happiness of the squad is good.	The overall happiness of the squad is good.
ASSISTANTCOMMENT_HAPPYTEAM6	Psychologically the squad is in a great place.	Psychologically the squad is in a great place.
ASSISTANTCOMMENT_WISEPLAYER1	Players like $playername bring a wealth of experience to the team.	Players like $playername bring a wealth of experience to the team.
ASSISTANTCOMMENT_WISEPLAYER2	$playername showed his experience out there.	$playername showed his experience out there.
ASSISTANTCOMMENT_WISEPLAYER3	Young players can learn from experienced pros like $playername.	Young players can learn from experienced pros like $playername.
ASSISTANTCOMMENT_WISEPLAYER4	$playername showed his leadership out there.	$playername showed his leadership out there.
ASSISTANTCOMMENT_WISEPLAYER5	$playername used all of his experience today.	$playername used all of his experience today.
ASSISTANTCOMMENT_WISEPLAYER6	$playername used his experience to great effect.	$playername used his experience to great effect.
ASSISTANTCOMMENT_WISEPLAYER7	$playername's experience was evident today.	$playername's experience was evident today.
ASSISTANTCOMMENT_PLAYERDEBUT_VGOOD1	$playername had a stunning debut.	$playername had a stunning debut.
ASSISTANTCOMMENT_PLAYERDEBUT_VGOOD2	$playername was excellent on his debut.	$playername was excellent on his debut.
ASSISTANTCOMMENT_PLAYERDEBUT_VGOOD3	A fantastic debut performance from $playername.	A fantastic debut performance from $playername.
ASSISTANTCOMMENT_PLAYERDEBUT_GOOD1	$playername had a good debut.	$playername had a good debut.
ASSISTANTCOMMENT_PLAYERDEBUT_GOOD2	$playername performed well on his debut.	$playername performed well on his debut.
ASSISTANTCOMMENT_PLAYERDEBUT_GOOD3	$playername had a solid debut.	$playername had a solid debut.
ASSISTANTCOMMENT_PLAYERDEBUT_POOR1	$playername had a poor debut.	$playername had a poor debut.
ASSISTANTCOMMENT_PLAYERDEBUT_POOR2	$playername needs time to bed in.	$playername needs time to bed in.
ASSISTANTCOMMENT_PLAYERDEBUT_POOR3	$playername's debut was disappointing.	$playername's debut was disappointing.
ASSISTANTCOMMENT_PLAYERPERFORMANCE_GOOD1	$playername was excellent.	$playername was excellent.
ASSISTANTCOMMENT_PLAYERPERFORMANCE_GOOD2	$playername's performance was fantastic.	$playername's performance was fantastic.
ASSISTANTCOMMENT_PLAYERPERFORMANCE_GOOD3	$playername was terrific today.	$playername was terrific today.
ASSISTANTCOMMENT_PLAYERPERFORMANCE_GOOD4	$playername had fantastic game.	$playername had fantastic game.
ASSISTANTCOMMENT_PLAYERPERFORMANCE_GOOD5	A stunning performance from $playername.	A stunning performance from $playername.
ASSISTANTCOMMENT_PLAYERPERFORMANCE_GOOD6	A stunning display from $playername.	A stunning display from $playername.
ASSISTANTCOMMENT_PLAYERPERFORMANCE_BAD1	$playername had a shocker.	$playername had a shocker.
ASSISTANTCOMMENT_PLAYERPERFORMANCE_BAD2	$playername's performance was well below par.	$playername's performance was well below par.
ASSISTANTCOMMENT_PLAYERPERFORMANCE_BAD3	$playername was terrible today.	$playername was terrible today.
ASSISTANTCOMMENT_PLAYERPERFORMANCE_BAD4	$playername will be disappointed with his performance.	$playername will be disappointed with his performance.
ASSISTANTCOMMENT_PLAYERPERFORMANCE_BAD5	An awful display from $playername.	An awful display from $playername.
ASSISTANTCOMMENT_PLAYERPERFORMANCE_BAD5	$playername had a poor game.	$playername had a poor game.
ASSISTANTCOMMENT_PENALTIES_WIN1	The lads held their nerve for penalties.	The lads held their nerve for penalties.
ASSISTANTCOMMENT_PENALTIES_WIN2	We deserved to win the shoot-out.	We deserved to win the shoot-out.
ASSISTANTCOMMENT_PENALTIES_WIN3	The lads dispatched their penalties well.	The lads dispatched their penalties well.
ASSISTANTCOMMENT_PENALTIES_LOSS1	We were unlucky to lose on penalties.	We were unlucky to lose on penalties.
ASSISTANTCOMMENT_PENALTIES_LOSS2	We didn't deserve to lose on penalties.	We didn't deserve to lose on penalties.
ASSISTANTCOMMENT_PENALTIES_LOSS3	A disappointing loss on penalties.	A disappointing loss on penalties.
ASSISTANTCOMMENT_PITCH_POOR1	The pitch quality was poor.	The pitch quality was poor.
ASSISTANTCOMMENT_PITCH_POOR2	The pitch wasn't up to standard.	The pitch wasn't up to standard.
ASSISTANTCOMMENT_PITCH_POOR3	The pitch was very poor quality.	The pitch was very poor quality.
ASSISTANTCOMMENT_PITCH_POOR4	The quality of the pitch was very sub-standard.	The quality of the pitch was very sub-standard.
ASSISTANTCOMMENT_PITCH_POOR5	The pitch was terrible.	The pitch was terrible.
ASSISTANTCOMMENT_PITCH_ENERGY1	The pitch won't have helped our energy levels.	The pitch won't have helped our energy levels.
ASSISTANTCOMMENT_PITCH_ENERGY2	The boys will need extra recovery time after playing on that pitch.	The boys will need extra recovery time after playing on that pitch.
ASSISTANTCOMMENT_PITCH_ENERGY3	The pitch sapped the energy of the players.	The pitch sapped the energy of the players.
ASSISTANTCOMMENT_PITCH_ENERGY4	The pitch drained the players.	The pitch drained the players.
ASSISTANTCOMMENT_PITCH_ENERGY5	The pitch wasn't conducive to quality football.	The pitch wasn't conducive to quality football.
ASSISTANTCOMMENT_PITCH_INJURY1	The poor pitch caused $playername's injury.	The poor pitch caused $playername's injury.
ASSISTANTCOMMENT_PITCH_INJURY2	The quality of the pitch caused $playername's injury.	The quality of the pitch caused $playername's injury.
ASSISTANTCOMMENT_PITCH_INJURY3	The dodgy pitch caused $playername's injury.	The dodgy pitch caused $playername's injury.
ASSISTANTCOMMENT_PITCH_INJURY4	The rough pitch led to $playername's injury.	The rough pitch led to $playername's injury.
ASSISTANTCOMMENT_PITCH_INJURY5	$playername's injury was caused by the state of the pitch.	$playername's injury was caused by the state of the pitch.
ASSISTANTCOMMENT_TEAMLOWENERGY1	The team is exhausted.	The team is exhausted.
ASSISTANTCOMMENT_TEAMLOWENERGY2	Some of the players might need extra recovery time.	Some of the players might need extra recovery time.
ASSISTANTCOMMENT_TEAMLOWENERGY3	The players are very low on energy.	The players are very low on energy.
ASSISTANTCOMMENT_TEAMLOWENERGY4	The lads gave us everything and are exhausted.	The lads gave us everything and are exhausted.
ASSISTANTCOMMENT_TEAMLOWENERGY5	The players are running on empty.	The players are running on empty.
ASSISTANTCOMMENT_TEAMLOWENERGY6	You may need to help the players recover in time for the next match.	You may need to help the players recover in time for the next match.
ASSISTANTCOMMENT_TEAMLOWENERGY7	The lads are shot. They need recovery time.	The lads are shot. They need recovery time.
ASSISTANTCOMMENT_MISSEDCHANCES1	We missed a lot of good chances.	We missed a lot of good chances.
ASSISTANTCOMMENT_MISSEDCHANCES2	Too many chances went begging.	Too many chances went begging.
ASSISTANTCOMMENT_MISSEDCHANCES3	The strikers lacked composure in front of goal.	The strikers lacked composure in front of goal.
ASSISTANTCOMMENT_MISSEDCHANCES4	We failed to convert a number of chances.	We failed to convert a number of chances.
ASSISTANTCOMMENT_MISSEDCHANCES5	Our forwards need to be more clinical. 	Our forwards need to be more clinical. 
ASSISTANTCOMMENT_OFFTARGET1	Too many shots were off target.	Too many shots were off target.
ASSISTANTCOMMENT_OFFTARGET2	Some of our shooting was woeful.	Some of our shooting was woeful.
ASSISTANTCOMMENT_OFFTARGET3	Our shooting lacked accuracy.	Our shooting lacked accuracy.
ASSISTANTCOMMENT_OFFTARGET4	Our forwards need to hit the target more.	Our forwards need to hit the target more.
ASSISTANTCOMMENT_OFFTARGET5	Too many long range efforts were off target.	Too many long range efforts were off target.
ASSISTANTCOMMENT_GOODSHOOTING1	Our shooting was very accurate.	Our shooting was very accurate.
ASSISTANTCOMMENT_GOODSHOOTING2	Most of our shots were on target.	Most of our shots were on target.
ASSISTANTCOMMENT_GOODSHOOTING3	Our forwards showed good accuracy in front of goal.	Our forwards showed good accuracy in front of goal.
ASSISTANTCOMMENT_ATTACKDOMINATED1	We were creative up front.	We were creative up front.
ASSISTANTCOMMENT_ATTACKDOMINATED2	Our forwards bossed their defence.	Our forwards bossed their defence.
ASSISTANTCOMMENT_ATTACKDOMINATED3	We looked great going forward.	We looked great going forward.
ASSISTANTCOMMENT_ATTACKLACKING1	We struggled up front.	We struggled up front.
ASSISTANTCOMMENT_ATTACKLACKING2	Our forwards failed to make an impact.	Our forwards failed to make an impact.
ASSISTANTCOMMENT_ATTACKLACKING3	Our attack lacked creativity.	Our attack lacked creativity.
ASSISTANTCOMMENT_BOXTOBOX1	$playername got up and down the pitch.	$playername got up and down the pitch.
ASSISTANTCOMMENT_BOXTOBOX2	$playername was really box-to-box.	$playername was really box-to-box.
ASSISTANTCOMMENT_BOXTOBOX3	$playername defended well and supported the attack at times.	$playername defended well and supported the attack at times.
ASSISTANTCOMMENT_DEFENCEDOMINATED1	Our defence was good.	Our defence was good.
ASSISTANTCOMMENT_DEFENCEDOMINATED2	We were good defensively.	We were good defensively.
